CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,acceso_bomberos_km,intersecciones_km2,densidad_vial,tipo_vial_pct,poblacion_total,densidad_pob,viviendas,riesgo_base,ocurrio_incendio,ia_probabilidad_incendio,riesgo_pob_vial,aislamiento_tactico,total_incendios
0803700011471038,8,37,1,1471,38,Urbana,Típica,2.88,0.0,0.0,0.0,36.0,36.0,3,BAJO,0,0.20041406257676553,0.0,288.0,0
0803700013730033,8,37,1,3730,33,Urbana,Típica,1.5,0.0,6.51,0.0,155.0,155.0,111,BAJO,0,0.361721601107848,1009.05,0.23006134969325154,0
0803700013783005,8,37,1,3783,5,Urbana,Típica,1.84,13.77,0.0,0.0,434.0,434.0,151,MEDIO,0,0.2671388231316348,0.0,184.0,0
080370001425A020,8,37,1,425A,20,Urbana,Típica,3.34,0.0,37.33,0.0,144.0,144.0,30,ALTO,0,0.11766666904707618,5375.5199999999995,0.08944831280128548,0
080370001425A026,8,37,1,425A,26,Urbana,Típica,3.4,0.0,85.06,0.0,60.0,60.0,7,MEDIO,0,0.232307545132228,5103.6,0.039967085929234744,0
080370001425A052,8,37,1,425A,52,Urbana,Típica,3.53,0.0,67.0,0.0,169.0,169.0,26,ALTO,0,0.17435088311136973,11323.0,0.052678704670944626,0
080370001425A071,8,37,1,425A,71,Urbana,Típica,3.47,0.0,0.0,0.0,24.0,24.0,3,MEDIO,0,0.19222888095159082,0.0,347.0,0
0803700010558014,8,37,1,0558,14,Urbana,Típica,0.65,0.0,0.0,0.0,25.0,25.0,11,ALTO,0,0.8282539191026654,0.0,65.0,0
080370001425A068,8,37,1,425A,68,Urbana,Típica,3.44,0.0,69.92,0.0,22.0,22.0,9,ALTO,0,0.2825832873377097,1538.24,0.049192049192049184,0
080370001425A066,8,37,1,425A,66,Urbana,Típica,3.55,0.0,0.0,0.0,65.0,65.0,15,MEDIO,0,0.0807100591859693,0.0,355.0,0
0803700010825002,8,37,1,0825,2,Urbana,Típica,2.37,0.0,0.0,0.0,16.0,16.0,6,ALTO,0,0.8957476290665706,0.0,237.0,0
0803700011202013,8,37,1,1202,13,Urbana,Típica,3.08,0.0,0.0,0.0,21.0,21.0,5,MEDIO,0,0.24904675361861295,0.0,308.0,0
0803700011344002,8,37,1,1344,2,Urbana,Típica,2.64,0.0,0.0,0.0,32.0,32.0,9,ALTO,0,0.1949744249072919,0.0,264.0,0
0803700011503050,8,37,1,1503,50,Urbana,Típica,2.27,0.0,0.0,0.0,40.0,40.0,12,BAJO,0,0.49802512288271983,0.0,227.0,0
0803700011503068,8,37,1,1503,68,Urbana,Típica,2.28,0.0,0.0,0.0,0.0,0.0,1,BAJO,0,0.8735198477859353,0.0,227.99999999999997,0
0803700013730040,8,37,1,3730,40,Urbana,Típica,0.78,0.0,0.0,0.0,25.0,25.0,2,BAJO,0,0.8177673835880052,0.0,78.0,0
0803700013618029,8,37,1,3618,29,Urbana,Típica,4.06,0.0,0.0,0.0,63.0,63.0,10,MEDIO,0,0.08571005918596931,0.0,405.99999999999994,0
0803700013618041,8,37,1,3618,41,Urbana,Típica,4.05,0.0,0.0,0.0,0.0,0.0,11,MEDIO,0,0.2618069176930174,0.0,405.0,0
0803700012126015,8,37,1,2126,15,Urbana,Típica,0.68,0.0,0.0,0.0,0.0,0.0,18,MEDIO,0,0.9009718430737523,0.0,68.0,0
0803700012126073,8,37,1,2126,73,Urbana,Típica,0.75,0.0,0.0,0.0,0.0,0.0,2,BAJO,0,0.8939618762963437,0.0,75.0,0
0803700012126074,8,37,1,2126,74,Urbana,Típica,0.75,0.0,0.0,0.0,0.0,0.0,2,BAJO,0,0.8939618762963437,0.0,75.0,0
0803700012164067,8,37,1,2164,67,Urbana,Típica,2.86,0.0,0.0,0.0,0.0,0.0,12,BAJO,0,0.2514667721005382,0.0,286.0,0
0803700012164068,8,37,1,2164,68,Urbana,Típica,2.81,0.0,0.0,0.0,0.0,0.0,3,BAJO,0,0.2514667721005382,0.0,281.0,0
0803700012291004,8,37,1,2291,4,Urbana,Típica,2.32,0.0,31.28,0.0,0.0,0.0,5,MEDIO,0,0.6370570490970656,0.0,0.07414509427932246,0
0803700012291022,8,37,1,2291,22,Urbana,Típica,2.35,0.0,0.0,0.0,3.0,3.0,94,MEDIO,0,0.8869069667126755,0.0,235.0,0
0803700012291040,8,37,1,2291,40,Urbana,Típica,2.3,258.9,125.24,0.0,0.0,0.0,3,BAJO,0,0.6944062451047602,0.0,0.018363273453093812,0
0803700012319004,8,37,1,2319,4,Urbana,Típica,4.46,0.0,0.0,0.0,0.0,0.0,1,MEDIO,0,0.2966424273152095,0.0,446.0,0
0803700012319045,8,37,1,2319,45,Urbana,Típica,4.47,0.0,0.0,0.0,42.0,42.0,1,MEDIO,0,0.12927845382495484,0.0,446.99999999999994,0
0803700012338009,8,37,1,2338,9,Urbana,Típica,1.67,0.0,0.0,0.0,0.0,0.0,9,BAJO,0,0.8550590698128155,0.0,167.0,0
0803700012338103,8,37,1,2338,103,Urbana,Típica,1.7,0.0,0.0,0.0,0.0,0.0,12,BAJO,0,0.848836262792443,0.0,170.0,0
0803700012338104,8,37,1,2338,104,Urbana,Típica,1.74,0.0,0.0,0.0,0.0,0.0,4,BAJO,0,0.8607636184493568,0.0,174.0,0
0803700012338105,8,37,1,2338,105,Urbana,Típica,1.8,0.0,0.0,0.0,0.0,0.0,2,BAJO,0,0.8707636184493568,0.0,180.0,0
0803700012338107,8,37,1,2338,107,Urbana,Típica,1.71,0.0,0.0,0.0,0.0,0.0,4,BAJO,0,0.848836262792443,0.0,171.0,0
0803700012357001,8,37,1,2357,1,Urbana,Típica,4.52,33.58,31.96,39.3,0.0,0.0,186,ALTO,0,0.37313753409620615,0.0,0.1413825461370034,0
0803700012357010,8,37,1,2357,10,Urbana,Típica,4.92,224.61,53.31,0.0,0.0,0.0,26,MEDIO,0,0.4246623304295132,0.0,0.09227306826706677,0
0803700012412006,8,37,1,2412,6,Urbana,Típica,2.58,0.0,23.58,0.0,0.0,0.0,5,BAJO,0,0.38853996658928414,0.0,0.10936837643069097,0
0803700012412030,8,37,1,2412,30,Urbana,Típica,2.57,0.0,0.0,0.0,129.0,129.0,90,MEDIO,0,0.15318356096237853,0.0,257.0,0
080370001254A007,8,37,1,254A,7,Urbana,Típica,8.36,0.0,0.0,0.0,0.0,0.0,12,MEDIO,0,0.1480180770600211,0.0,835.9999999999999,0
080370001254A024,8,37,1,254A,24,Urbana,Típica,8.56,0.0,0.0,0.0,21.0,21.0,19,MEDIO,0,0.19854363302632222,0.0,856.0,0
080370001261A008,8,37,1,261A,8,Urbana,Típica,2.31,0.0,0.0,0.0,0.0,0.0,5,MEDIO,0,0.8735198477859353,0.0,231.0,0
0803700012889022,8,37,1,2889,22,Urbana,Típica,10.38,0.0,0.0,0.0,0.0,0.0,58,ALTO,0,0.14379825784907235,0.0,1038.0,0
0803700012889040,8,37,1,2889,40,Urbana,Típica,10.84,0.0,24.9,0.0,0.0,0.0,68,ALTO,0,0.31306365068942754,0.0,0.43516659975913285,0
0803700012889063,8,37,1,2889,63,Urbana,Típica,10.46,0.0,0.0,0.0,0.0,0.0,24,MEDIO,0,0.13978040070621522,0.0,1046.0,0
0803700012889064,8,37,1,2889,64,Urbana,Típica,10.73,0.0,0.0,0.0,0.0,0.0,29,MEDIO,0,0.13978040070621522,0.0,1073.0,0
0803700013675049,8,37,1,3675,49,Urbana,Bajo Puente,0.44,0.0,126.94,100.0,0.0,0.0,5,BAJO,0,0.7376498719644262,0.0,0.0034659314690823157,0
0803700013675052,8,37,1,3675,52,Urbana,Bajo Puente,0.48,0.0,0.0,0.0,0.0,0.0,4,BAJO,0,0.8954845485016691,0.0,48.0,0
0803700013938014,8,37,1,3938,14,Urbana,Típica,1.93,0.0,0.0,0.0,76.0,76.0,21,MEDIO,0,0.35292208456089347,0.0,193.0,0
