CVEGEO,CVE_MZA,TIPOMZA,total_incendios,acceso_bomberos_km,densidad_vial,poblacion_total,riesgo_base,densidad_incendios_500m,distancia_bomberos_m
080370001222A052,52,Típica,0.0,3.85,0.0,33,MEDIO,0,3852.2308413095457
0803700016843052,52,Típica,0.0,3.28,0.0,54,MEDIO,0,3282.751784419792
0803700016839034,34,Típica,0.0,4.04,126.38,74,MEDIO,0,4036.8387539265314
0803700016839033,33,Típica,0.0,4.01,0.0,94,MEDIO,0,4005.2432604176884
0803700016839011,11,Típica,0.0,4.1,4.17,189,MEDIO,0,4098.169092421197
0803700018229056,56,Típica,0.0,7.09,0.0,164,MEDIO,0,7087.227850199267
0803700016576021,21,Típica,0.0,6.35,0.0,118,MEDIO,0,6348.739585332168
0803700016398004,4,Típica,0.0,3.65,0.0,173,MEDIO,0,3645.2589412484926
080370001222A103,103,Típica,0.0,4.43,0.0,128,MEDIO,0,4427.842178227199
0803700016307001,1,Típica,2.0,3.68,0.0,2567,ALTO,0,3684.802250526334
0803700015224096,96,Típica,0.0,4.73,0.0,31,MEDIO,0,4728.452615210425
0803700015224095,95,Parque o Jardín,0.0,4.54,0.0,0,MEDIO,0,4536.601236429039
080370001514A044,44,Típica,0.0,3.04,0.0,12,MEDIO,0,3041.3230982917134
0803700012338081,81,Típica,0.0,1.45,0.0,149,BAJO,0,1445.963105207027
0803700012338068,68,Típica,0.0,2.1,0.0,231,BAJO,0,2098.6534171647436
080370001222A110,110,Típica,0.0,4.24,0.0,47,MEDIO,0,4240.090308742232
0803700018303005,5,Típica,1.0,11.59,0.0,39,ALTO,0,11585.457853016
0803700018303004,4,Típica,0.0,11.74,0.0,28,MEDIO,0,11735.789362680252
0803700018229045,45,Típica,0.0,7.23,0.0,92,MEDIO,0,7225.782722853796
0803700018229044,44,Típica,0.0,7.23,0.0,73,MEDIO,0,7231.705529932331
0803700018229011,11,Típica,0.0,7.48,0.0,46,MEDIO,0,7479.172976237911
0803700018229010,10,Típica,0.0,7.44,10.21,145,MEDIO,0,7443.596218825729
0803700018214020,20,Típica,0.0,7.05,0.0,72,MEDIO,0,7045.089722136097
0803700018021087,87,Típica,0.0,12.55,0.0,74,MEDIO,0,12551.929558091399
0803700018017074,74,Típica,0.0,11.26,0.0,26,MEDIO,0,11261.015079130611
0803700018017073,73,Típica,0.0,11.18,0.0,0,MEDIO,0,11182.062382122469
0803700017998044,44,Típica,0.0,11.5,0.0,216,MEDIO,0,11495.142625933262
0803700017983043,43,Típica,0.0,11.13,70.51,149,MEDIO,0,11133.097714625017
0803700017979055,55,Típica,0.0,11.05,0.0,100,MEDIO,0,11050.572127695668
0803700017979054,54,Típica,0.0,11.14,0.0,95,MEDIO,0,11141.063265361061
0803700017979053,53,Típica,0.0,11.21,0.0,64,MEDIO,0,11205.180783117969
0803700017979052,52,Típica,0.0,11.16,0.0,0,MEDIO,0,11162.189161094997
0803700017979051,51,Típica,1.0,11.1,0.0,58,ALTO,0,11096.140222105521
0803700017979016,16,Típica,2.0,11.61,0.0,117,ALTO,0,11614.760466127767
0803700017930056,56,Típica,0.0,8.88,0.0,109,MEDIO,0,8879.154037790431
0803700017930055,55,Típica,0.0,8.88,0.0,20,MEDIO,0,8884.114784683978
